country,cases,deaths,population,cases_per_million
Afghanistan,234174,7996,40754388,5745.982493958688
Albania,334863,3605,2866374,116824.60139535175
Algeria,272010,6881,45350148,5997.99586100579
Andorra,48015,165,77463,619844.3127686767
Angola,107327,1937,35027343,3064.09195810256
Anguilla,3904,12,15230,256336.17859487853
Antigua and Barbuda,9106,146,99509,91509.31071561367
Argentina,10128845,130841,46010234,220143.30550894397
Armenia,451831,8777,2971966,152031.01246784115
Aruba,44224,292,107609,410969.3427129701
Australia,11853144,24414,26068792,454687.12167406915
Austria,6081287,22542,9066710,670726.9781431191
Azerbaijan,835234,10400,10300205,81089.06570306125
Bahamas,38084,844,400516,95087.33733483807
Bahrain,729549,1574,1783983,408943.9193086481
Bangladesh,2049377,29493,167885689,12206.978523345131
Barbados,110578,648,288023,383920.7285529281
Belarus,994037,7118,9432800,105380.90492748706
Belgium,4861695,34376,11668278,416659.16770238074
Belize,71409,688,412190,173242.92195346806
Benin,28036,163,12784726,2192.9292813940638
Bermuda,18860,165,61939,304493.1303379131
Bhutan,62697,21,787941,79570.67851526954
Bolivia,1212131,22407,11992656,101072.77320386743
Bosnia,403615,16388,3249317,124215.33509965325
Botswana,330638,2801,2441162,135442.87515535636
Brazil,38743918,711380,215353593,179908.3890836221
British Virgin Islands,7392,64,30596,241600.20917767027
Brunei,343719,225,445431,771654.8691043056
Bulgaria,1339851,38748,6844597,195753.0881657459
Burkina Faso,22114,400,22102838,1000.5050030226888
Burundi,54721,38,12624840,4334.391564566363
Cabo Verde,64477,417,567678,113580.23386497275
Cambodia,139103,3056,17168639,8102.156495922595
Cameroon,125379,1974,27911548,4492.011693511231
Canada,4946090,59034,38388419,128843.28474168212
Caribbean Netherlands,11682,38,26647,438398.31876008556
Cayman Islands,31472,37,67277,467797.3155759026
Central African Republic,15440,113,5016678,3077.733910767245
Chad,7701,194,17413580,442.2410555440065
Channel Islands,101717,228,176463,576421.1194414693
Chile,5384853,64497,19250195,279729.7897501817
China,503302,5272,1448471400,347.4711340520773
Colombia,6400173,143200,51512762,124244.41539360673
Comoros,9109,161,907419,10038.361550727945
Congo,25375,386,5797805,4376.6563380451735
Cook Islands,7203,2,17571,409936.82772750553
Costa Rica,1238883,9428,5182354,239057.96477816836
Croatia,1309728,18687,4059286,322649.8453176248
Cuba,1115251,8530,11305652,98645.43858240108
Curaçao,45986,295,165529,277812.34708117606
Cyprus,681110,1365,1223387,556741.2437764992
Czechia,4759041,43517,10736784,443246.4134511787
Côte d'Ivoire,88384,835,27742298,3185.8932522460827
DRC,99338,1468,95240792,1043.0194658608048
Denmark,3183756,8814,5834950,545635.5238690991
Diamond Princess,712,13,0,inf
Djibouti,15690,189,1016097,15441.439153939044
Dominica,16038,74,72344,221690.8105717129
Dominican Republic,675890,4384,11056370,61131.275454783085
Ecuador,1070188,36043,18113361,59082.79529127697
Egypt,516023,24613,106156692,4860.955915996327
El Salvador,201855,4230,6550389,30815.727127045433
Equatorial Guinea,17229,183,1496662,11511.61718544334
Eritrea,10189,103,3662244,2782.1739894993343
Estonia,628070,3001,1321910,475123.1173075323
Ethiopia,501157,7574,120812698,4148.214618963315
Falkland Islands (Malvinas),1930,0,3539,545351.7942921729
Faroe Islands,34658,28,49233,703958.7268701887
Fiji,69117,885,909466,75997.34349607352
Finland,1516117,11958,5554960,272930.3181301035
France,40138560,167642,65584518,612012.7314193267
French Guiana,98041,420,314169,312064.5257807104
French Polynesia,79254,650,284164,278902.3240100787
Gabon,49051,307,2331533,21038.089531651494
Gambia,12626,372,2558482,4934.957525595255
Georgia,1861665,17132,3968738,469082.3632096651
Germany,38828995,183027,83883596,462891.3977412223
Ghana,171889,1462,32395450,5305.961176646721
Gibraltar,20550,113,33704,609719.9145502019
Greece,6101379,37869,10316637,591411.6198912495
Greenland,11971,21,56973,210117.07299949098
Grenada,19693,238,113475,173544.8336638026
Guadeloupe,203235,1021,399794,508349.2998894431
Guatemala,1291293,20289,18584039,69483.98031235299
Guinea,38572,468,13865691,2781.830346572702
Guinea-Bissau,9614,177,2063367,4659.374701640571
Guyana,74137,1300,794045,93366.2449861154
Haiti,34667,860,11680283,2967.993155645287
Holy See (Vatican City State),29,0,799,36295.36921151439
Honduras,474590,11165,10221247,46431.7122949871
Hong Kong,2937609,14924,7604299,386308.9812749341
Hungary,2230232,49048,9606259,232164.46693764973
Iceland,209906,229,345393,607730.903637306
India,45035393,533570,1406631776,32016.4763574913
Indonesia,6829221,162063,279134505,24465.69978870939
Iran,7627186,146811,86022837,88664.66470990721
Iraq,2465545,25375,42164965,58473.782677158626
Ireland,1734582,9491,5020199,345520.5660174029
Isle of Man,38008,116,85732,443335.0440908879
Israel,4841772,12707,9326000,519169.2043748659
Italy,26723249,196487,60262770,443445.414142098
Jamaica,156869,3756,2985094,52550.77394547709
Japan,33803572,74694,125584838,269169.2129268025
Jordan,1746997,14122,10300869,169597.05050127325
Kazakhstan,1411831,13848,19205043,73513.55578844578
Kenya,344130,5689,56215221,6121.651643066564
Kiribati,5085,24,123419,41201.11166027921
Kuwait,667158,2570,4380326,152307.84192774692
Kyrgyzstan,206897,2991,6728271,30750.39634996866
Lao People's Democratic Republic,218970,758,7481023,29270.061059830987
Latvia,982505,6715,1848837,531417.8589026507
Lebanon,1243838,10952,6684849,186068.22682157817
Lesotho,36138,723,2175699,16609.83435668261
Liberia,8090,295,5305117,1524.9428052199414
Libyan Arab Jamahiriya,507274,6437,7040745,72048.34147522741
Liechtenstein,21574,94,38387,562013.1815458359
Lithuania,1397806,9897,2661708,525153.7734417149
Luxembourg,391232,1232,642371,609043.6834788619
MS Zaandam,9,2,0,inf
Macao,27673,123,667490,41458.29900073409
Macedonia,350567,9976,2081304,168436.23036327228
Madagascar,68486,1426,29178077,2347.1731875956048
Malawi,89535,2686,20180839,4436.634175615791
Malaysia,5278406,37348,33181072,159078.8266274218
Maldives,186694,316,540985,345100.14140872663
Mali,33164,743,21473764,1544.396222292468
Malta,121420,885,444033,273448.1446198819
Marshall Islands,16138,17,60057,268711.39084536355
Martinique,230354,1102,374087,615776.5439590255
Mauritania,63848,997,4901981,13024.938285154512
Mauritius,43025,1051,1274727,33752.325007629086
Mayotte,42027,188,286259,146814.59796897217
Mexico,7702809,334958,131562772,58548.54593668793
Micronesia,26547,65,117489,225953.06794678653
Moldova,635145,12218,4013171,158265.1225178294
Monaco,17181,67,39783,431867.88326672197
Mongolia,1011496,2284,3378078,299429.4388702688
Montenegro,296542,2846,627950,472238.2355283064
Montserrat,1403,8,4965,282578.0463242699
Morocco,1278992,16303,37772756,33860.17160092846
Mozambique,233731,2250,33089461,7063.608561046069
Myanmar,641873,19495,55227143,11622.41907027492
N. Korea,4772813,74,25990679,183635.56411896742
Namibia,172389,4106,2633874,65450.739101414874
Nauru,5393,1,10903,494634.50426488125
Nepal,1003450,12031,30225582,33198.69903580351
Netherlands,8635786,22992,17211447,501746.65732637123
New Caledonia,80064,314,290915,275214.40970730287
New Zealand,2621111,5697,4898203,535116.8581620648
Nicaragua,18491,225,6779100,2727.648212889617
Niger,9931,312,26083660,380.73644572885866
Nigeria,267188,3155,216746934,1232.7187059541059
Niue,1059,0,1622,652897.6572133169
Norway,1509732,6638,5511370,273930.43834835984
Oman,399449,4628,5323993,75028.08512332755
Pakistan,1581936,30664,229488994,6893.297898198987
Palau,6290,10,18233,344978.8844403006
Palestine,621008,5404,5345541,116173.08706452724
Panama,1059893,8727,4446964,238340.80959504054
Papua New Guinea,46864,670,9292169,5043.38653332715
Paraguay,837602,20155,7305843,114648.2342968498
Peru,4572667,222161,33684208,135751.06174382963
Philippines,4140383,66864,112508994,36800.46237014616
Poland,6661991,120598,37739785,176524.3495690291
Portugal,5643062,28126,10140570,556483.7085094822
Qatar,514524,690,2979915,172663.98538213337
Romania,3529735,68929,19031335,185469.6478202922
Russia,24124215,402756,145805947,165454.25955773942
Rwanda,133518,1468,13600464,9817.165061427315
Réunion,494595,921,908061,544671.558408521
S. Korea,34571873,35934,51329899,673523.1058997408
Saint Helena,2166,0,6115,354210.95666394115
Saint Kitts and Nevis,6607,48,53871,122644.83673961871
Saint Lucia,30215,410,185113,163224.62495880894
Saint Martin,12324,63,39730,310193.80820538633
Saint Pierre Miquelon,3452,2,5759,599409.6197256468
Saint Vincent and the Grenadines,9674,124,111551,86722.6649693862
Samoa,17006,31,202239,84088.62781164859
San Marino,26185,128,34085,768226.4925920493
Sao Tome and Principe,6778,80,227679,29769.98317807088
Saudi Arabia,841469,9646,35844909,23475.272318308856
Senegal,89053,1971,17653671,5044.446562983982
Serbia,2615054,18057,8653016,302213.0087359136
Seychelles,51220,172,99426,515157.0011868123
Sierra Leone,7779,126,8306436,936.5027311352306
Singapore,3006155,2024,5943546,505784.76216050144
Sint Maarten,11051,92,43966,251353.3184733658
Slovakia,1877605,21224,5460193,343871.54446738417
Slovenia,1356546,7100,2078034,652802.6009199079
Solomon Islands,25954,199,721159,35989.2894632113
Somalia,27334,1361,16841795,1622.9861484479534
South Africa,4076463,102595,60756135,67095.49578820312
South Sudan,18819,147,11618511,1619.7428396805753
Spain,13914811,121760,46719142,297839.6092976194
Sri Lanka,672754,16897,21575842,31180.89203656571
St. Barth,5507,6,9945,553745.6008044243
Sudan,63993,5046,45992020,1391.3935504463602
Suriname,82588,1408,596831,138377.5306577574
Swaziland,75191,1427,1184817,63462.121154574925
Sweden,2754129,27407,10218971,269511.3823104107
Switzerland,4453053,14452,8773637,507549.26377738215
Syrian Arab Republic,57743,3165,19364809,2981.852286795083
Taiwan,10241523,19005,23888595,428720.1905344371
Tajikistan,17786,125,9957464,1786.1977708380366
Tanzania,43223,846,63298550,682.8434458609241
Thailand,4770149,34586,70078203,68068.94006685645
Timor-Leste,23460,138,1369429,17131.22768686803
Togo,39572,290,8680837,4558.546600978684
Tokelau,80,0,1378,58055.15239477503
Tonga,16950,13,107749,157310.04464078552
Trinidad and Tobago,191496,4390,1406585,136142.50116416713
Tunisia,1153361,29423,12046656,95741.17497835083
Turkey,17232066,102174,85561976,201398.6446502825
Turks and Caicos Islands,6752,40,39741,169900.1031680129
Tuvalu,2943,1,12066,243908.50323222278
UAE,1067030,2349,10081785,105837.40875251754
UK,24910387,232112,68497907,363666.39640536753
USA,111820082,1219487,334805269,333985.43079678953
Uganda,172149,3632,48432863,3554.38413789414
Ukraine,5557995,112418,43192122,128680.75803268014
Uruguay,1041111,7664,3496016,297799.26636491367
Uzbekistan,253662,1637,34382084,7377.737777616971
Vanuatu,12019,14,321832,37345.571602575255
Venezuela,552695,5856,29266991,18884.58570954561
